ITEM NO.,UNITS,LS UNITS,DESCRIPTION
939-2022,EA,* * * Requires Special Provision * * *,"SERIAL DATA TERMINAL SERVER, 48 PORT"
939-2023,EA,* * * Requires Special Provision * * *,"SERIAL DATA TERMINAL SERVER, 64 PORT"
939-2025,EA,* * * Requires Special Provision * * *,"SERIAL DATA TERMINAL SERVER, TYPE B"
939-2030,EA,* * * Requires Special Provision * * *,"VIDEO SWITCH, 80 X 20 LOOP THROUGH"
939-2031,EA,* * * Requires Special Provision * * *,"VIDEO SWITCH, 120 X 40"
939-2032,EA,* * * Requires Special Provision * * *,"VIDEO SWITCH, 160 X 60"
939-2033,EA,* * * Requires Special Provision * * *,"VIDEO SWITCH, 200 X 40"
939-2090,EA,* * * Requires Special Provision * * *,VIDEO MONITOR
939-2100,EA,* * * Requires Special Provision * * *,NAVIGATOR WORKSTATION
939-2125,EA,* * * Requires Special Provision * * *,RACK MOUNTABLE LCD
939-2130,EA,* * * Requires Special Provision * * *,WORKSTATION POWER SUPPLY
939-2135,LS,* * * Requires Special Provision * * *,DISPLAY WALL SYSTEM
939-2211,EA,* * * Requires Special Provision * * *,"NETWORK SWITCH, LAYER 3 GIGE, TYPE A (FOUR SM 17DB GBIC'S)"
939-2212,EA,* * * Requires Special Provision * * *,"NETWORK SWITCH, LAYER 3 GIGE, TYPE B (FOUR SM 22DB GBIC'S)"
939-2213,EA,* * * Requires Special Provision * * *,"NETWORK SWITCH, LAYER 3 GIGE, TYPE C (SIX MM 7DB GBIC'S)"
939-2214,EA,* * * Requires Special Provision * * *,"NETWORK SWITCH, LAYER 3 GIGE, TYPE D (TWO SM 22DB AND FOUR MM 7DB GBIC'S)"
939-2215,EA,* * * Requires Special Provision * * *,"NETWORK SWITCH, LAYER 3 GIGE, TYPE  E"
939-2216,EA,* * * Requires Special Provision * * *,"NETWORK SWITCH, LAYER 3 GIGE, TYPE F"
939-2221,EA,,"GBIC ENTERPRISE ROUTING SWITCH MODULE, 8 PORT"
939-2222,EA,,"GBIC ROUTING SWITCH MODULE, TYPE B"
939-2230,EA,,"GBIC, TYPE A"
939-2232,EA,,"GBIC, TYPE B"
939-2235,EA,,"GBIC, TYPE C"
939-2237,EA,,"GBIC, TYPE D"
939-2240,EA,,"GBIC, TYPE E"
939-2242,EA,,"GBIC, TYPE F"
939-2245,EA,,"GBIC, TYPE G"
939-2250,EA,,"GBIC, TYPE LX"
939-2300,EA,,"FIELD SWITCH, TYPE A"
939-2301,EA,,"FIELD SWITCH, TYPE B"
939-2305,EA,,"FIELD SWITCH, TYPE C"
939-2310,EA,,"FIELD SWITCH, TYPE D"
939-2315,EA,,"FIELD SWITCH, TYPE E"
939-2320,EA,,"FIELD SWITCH, TYPE F"
939-2390,EA,,"SFP FIBER MODULE, TYPE 1"
939-2391,EA,,"SFP FIBER MODULE, TYPE 2"
939-2401,EA,,"ROUTING SWITCH, HUB, TYPE A"
939-2402,EA,,"ROUTING SWITCH, HUB, TYPE B"
939-2520,EA,* * * Requires Special Provision * * *,"MEDIA CONVERTER, MANAGEMENT SOFTWARE, TYPE A"
939-2530,EA,* * * Requires Special Provision * * *,"MEDIA CONVERTER, CHASSIS, TYPE A"
939-2534,EA,* * * Requires Special Provision * * *,"MEDIA CONVERTER, CHASSIS, TYPE E"
939-2580,EA,* * * Requires Special Provision * * *,"MEDIA CONVERTER, MODULE, TYPE A"
939-3010,EA,* * * Requires Special Provision * * *,EQUIPMENT RACK
939-3020,EA,* * * Requires Special Provision * * *,EQUIPMENT FRAME
939-3030,EA,* * * Requires Special Provision * * *,CABLE TRAY
939-3040,EA,* * * Requires Special Provision * * *,COMMUNICATION EQUIPMENT CHASSIS
939-3050,EA,* * * Requires Special Provision * * *,MODEM SHELF
939-4000,EA,,"LIGHTING STD, SOLAR PANEL CHARGING SYSTEM"
939-4005,EA,,SOLAR PANEL
939-4007,EA,,SOLAR BATTERY
939-4010,EA,* * * Requires Special Provision * * *,TYPE A CABINET
939-4020,EA,* * * Requires Special Provision * * *,TYPE B CABINET
939-4030,EA,* * * Requires Special Provision * * *,TYPE C CABINET
939-4040,EA,* * * Requires Special Provision * * *,TYPE D CABINET
939-4041,EA,* * * Requires Special Provision * * *,NETWORK FIELD SWITCH
939-4050,EA,* * * Requires Special Provision * * *,TYPE E CABINET
939-4060,EA,* * * Requires Special Provision * * *,TYPE F CABINET
939-4070,EA,* * * Requires Special Provision * * *,CL4D CABINET (FOUR DOOR CABINET ALT)
939-4100,EA,* * * Requires Special Provision * * *,"FIELD CABINET, TYPE 1"
939-4110,EA,* * * Requires Special Provision * * *,"FIELD CABINET, TYPE 2"
939-4120,EA,* * * Requires Special Provision * * *,"FIELD CABINET, TYPE 3"
939-4130,EA,* * * Requires Special Provision * * *,"FIELD CABINET, TYPE 4"
939-4180,EA,* * * Requires Special Provision * * *,SECURITY LOCK
939-4201,EA,* * * Requires Special Provision * * *,"SOLAR POWER SYSTEM, TYPE 1"
939-4202,EA,* * * Requires Special Provision * * *,"SOLAR POWER SYSTEM, TYPE 2"
939-5010,EA,* * * Requires Special Provision * * *,"ELECTRICAL POWER SERVICE ASSEMBLY, AERIAL SERVICE POINT"
939-5020,EA,* * * Requires Special Provision * * *,"ELECTRICAL POWER SERVICE ASSEMBLY, UNDERGROUND SERVICE POINT"
939-6000,EA,* * * Requires Special Provision * * *,HUB UNINTERRUPTIBLE POWER SUPPLY
939-6040,EA,* * * Requires Special Provision * * *,HUB UPS
939-6050,EA,* * * Requires Special Provision * * *,"FIELD UPS, TYPE 1"
939-6060,EA,* * * Requires Special Provision * * *,"FIELD UPS, TYPE 2"
939-6100,EA,* * * Requires Special Provision * * *,FIELD POWER CONTROLLER
939-7010,L S,* * * Requires Special Provision * * *,SYSTEM SERVERS
939-7020,L S,* * * Requires Special Provision * * *,NETWORK EQUIPMENT
939-7030,L S,* * * Requires Special Provision * * *,VIDEO DISPLAY SYSTEM
939-7040,L S,* * * Requires Special Provision * * *,SYSTEM FURNITURE
939-7050,L S,* * * Requires Special Provision * * *,OPERATOR WORKSTATIONS
939-7060,L S,* * * Requires Special Provision * * *,OTHER SYSTEM COMPONENTS
939-7070,L S,* * * Requires Special Provision * * *,SYSTEM CABLING
939-7080,L S,* * * Requires Special Provision * * *,UPS BACK-UP SYSTEM
939-8000,LS,* * * Requires Special Provision * * *,TESTING
939-8500,LS,,TRAINING
940-1000,LS,,NAVIGATOR INTEGRATION
942-1000,LS,,NETWORK EQUIPMENT CONFIGURATION AND INTEGRATION
950-3300,LF,* * * Requires Special Provision * * *,"TRANSFER OVERHEAD TELECOMMUNICATIONS FACILITY, FIBER, SINGLE MODE, ALL SIZES"
950-3500,LF,* * * Requires Special Provision * * *,"INSTALLATION TELECOMMUNICATIONS FACILITY, CONDUIT,  CONCRETE ENCASED,  -"
950-3505,LF,* * * Requires Special Provision * * *,"INSTALLATION TELECOMMUNICATIONS FACILITY, CONDUIT,  NON-CONCRETE ENCASED - _____IN, _____WAY"
950-3510,LF,* * * Requires Special Provision * * *,"INSTALLATION TELECOMUNICATIONS FACILITY, CONDUIT,  DIRECTIONAL BORE - _____IN, _____WAY"
950-3515,LF,* * * Requires Special Provision * * *,"INSTALLATION TELECOMMUNICATIONS FACILITY, CONDUIT, BRIDGE ATTACHMENT, _____IN, _____WAY"
950-3520,LF,* * * Requires Special Provision * * *,"ADJUSTMENT TELECOMMUNICATIONS FACILITY, CONDUIT,     CONCRETE ENCASED - _____IN, _____WAY"
950-3525,LF,* * * Requires Special Provision * * *,"ADJUSTMENT TELECOMMUNICATIONS FACILITY, CONDUIT,  NON-CONCRETE ENCASED, _____IN, _____WAY"
950-3530,LF,* * * Requires Special Provision * * *,"INSTALLATION TELECOMMUNICATIONS FACILITY, COPPER TWISTED   PAIR CABLE, DIRECT BURIAL - _____IN"
950-3535,LF,* * * Requires Special Provision * * *,"INSTALLATION TELECOMMUNICATIONS FACILITY, FIBER OPTIC CABLE, DIRECT BURIAL - _____IN"
950-3536,LF,* * * Requires Special Provision * * *,"INSTALLATION TELECOMMUNICATIONS FACILITY, FIBER OPTIC CABLE, DIRECT BURIAL - _____ COUNT"
950-3540,EA,* * * Requires Special Provision * * *,"INSTALLATION TELECOMMUNICATIONS FACILITY, PRECAST - TP 1, CL 1"
950-3545,EA,* * * Requires Special Provision * * *,"INSTALLATION TELECOMMUNICATIONS FACILITY, CAST-IN-PLACE   MANHOLE - TP 1, CL 1"
950-3550,*$*,* * * Requires Special Provision * * *,"TELECOMMUNICATIONS FACILITIES, MATERIAL CREDIT"
950-3561,EA,* * * Requires Special Provision * * *,"INSTALLATION TELECOMMUNICATIONS FACILITY, HAND HOLE - _____IN X _____IN X ____IN"
950-3565,EA,* * * Requires Special Provision * * *,ADJUST HAND HOLE TO GRADE
950-3570,LF,* * * Requires Special Provision * * *,"INSTALLATION TELECOMMUNICATIONS FACILITY, FIBER WARNING MARKER - _____IN X _____IN"
950-5010,LF,* * * Requires Special Provision * * *,"INSTALLATION TELECOMMUNICATIONS OVERHEAD COPPER, TWISTED PAIR, 400 PAIR, 24 GAUGE"
950-5025,LF,* * * Requires Special Provision * * *,"INSTALLATION TELECOMMUNICATIONS FACILITIES, FIBER OPTIC CABLE, OVERHEAD, 24 COUNT"
950-5027,LF,* * * Requires Special Provision * * *,"INSTALLATION TELECOMMUNICATIONS FACILITIES, FIBER OPTIC CABLE, OVERHEAD, 96 COUNT"
950-5029,LF,* * * Requires Special Provision * * *,"INSTALLATION TELECOMMUNICATIONS FACILITIES, FIBER OPTIC CABLE, OVERHEAD, 288 COUNT"
950-5031,LF,* * * Requires Special Provision * * *,"INSTALLATION TELECOMMUNICATIONS FACILITIES, FIBER OPTIC CABLE, OVERHEAD, 432 COUNT"
950-5220,LF,* * * Requires Special Provision * * *,REMOVAL OF OVERHEAD TELECOMMUNICATIONS FIBER
950-5300,EA,* * * Requires Special Provision * * *,RELOCATE SMALL CELL
950-6000,LF,* * * Requires Special Provision * * *,"INSTALL TELECOMMUNICATIONS OVERHEAD COPPER, TWISTED PAIR, 25 PAIR, 24 GAUGE"
950-6005,LF,* * * Requires Special Provision * * *,"INSTALL TELECOMMUNICATIONS OVERHEAD COPPER, TWISTED PAIR, 50 PAIR, 24 GAUGE"
950-6010,LF,* * * Requires Special Provision * * *,"INSTALL TELECOMMUNICATIONS OVERHEAD COPPER, TWISTED PAIR, 100 PAIR, 24 GAUGE"
950-6015,LF,* * * Requires Special Provision * * *,"INSTALL TELECOMMUNICATIONS OVERHEAD COPPER, TWISTED PAIR, 200 PAIR, 24 GAUGE"
950-6020,LF,* * * Requires Special Provision * * *,"INSTALL TELECOMMUNICATIONS OVERHEAD COPPER, TWISTED PAIR, 300 PAIR, 24 GAUGE"
950-6100,LF,* * * Requires Special Provision * * *,"REMOVAL TELECOMMUNICATIONS OVERHEAD COPPER, ALL SIZES"
951-0000,$,* * * Requires Special Provision * * *,SEC 951 CABLE SYSTEMS
951-0500,LF,* * * Requires Special Provision * * *,"TRANSFER OVERHEAD CABLE TELEVISION, FIBER, SINGLE MODE, ALL SIZES"
951-2190,LF,* * * Requires Special Provision * * *,"OVERHEAD CABLE TELEVISION, FEEDER OVERLASH - COAXIAL, IN -"
951-2200,LF,* * * Requires Special Provision * * *,"OVERHEAD CABLE TELEVISION, FEEDER - COAXIAL, 0.625 IN"
951-2205,LF,* * * Requires Special Provision * * *,"OVERHEAD CABLE TELEVISION, SERVICE, RG6 - COAXIAL, 0.298 IN"
951-2210,LF,* * * Requires Special Provision * * *,"OVERHEAD CABLE TELEVISION, SERVICE, RG11 - COAXIAL, 0.412 IN"
951-2215,LF,* * * Requires Special Provision * * *,"OVERHEAD CABLE TELEVISION, TEMPORARY - COAXIAL 0.298 IN"
951-2220,LF,,"OVERHEAD CABLE TELEVISION, TEMPORARY - COAXIAL, 0.412 IN"
951-2225,LF,,"OVERHEAD CABLE TELEVISION, TEMPORARY - COAXIAL, 0.625 IN"
951-2230,LF,,"OVERHEAD CABLE TELEVISION, TEMPORARY - COAXIAL, 0.875 IN"
951-2235,LF,,"OVERHEAD CABLE TELEVISION, TRUNK - COAXIAL, 0.875 IN"
951-2240,LF,,"OVERHEAD CABLE TELEVISION , FIBER, SINGLE MODE, 6 COUNT"
951-2245,LF,,"OVERHEAD CABLE TELEVISION , FIBER, SINGLE MODE, 12 COUNT"
951-2250,LF,,"OVERHEAD CABLE TELEVISION , FIBER, SINGLE MODE, 18 COUNT"
951-2255,LF,,"OVERHEAD CABLE TELEVISION , FIBER, SINGLE MODE, 24 COUNT"
951-2260,LF,,"OVERHEAD CABLE TELEVISION , FIBER, SINGLE MODE, 36 COUNT"
951-2262,LF,,"OVERHEAD CABLE TELEVISION , FIBER, SINGLE MODE, 42 COUNT"
951-2265,LF,,"OVERHEAD CABLE TELEVISION , FIBER, SINGLE MODE, 48 COUNT"
951-2270,LF,,"OVERHEAD CABLE TELEVISION , FIBER, SINGLE MODE, 60 COUNT"
951-2275,LF,,"OVERHEAD CABLE TELEVISION , FIBER, SINGLE MODE, 72 COUNT"
951-2280,LF,,"OVERHEAD CABLE TELEVISION , FIBER, SINGLE MODE, 84 COUNT"
951-2285,LF,,"OVERHEAD CABLE TELEVISION , FIBER, SINGLE MODE, 96 COUNT"
951-2287,LF,,"OVERHEAD CABLE TELEVISION , FIBER, SINGLE MODE, 120 COUNT"
951-2290,LF,,"OVERHEAD CABLE TELEVISION , FIBER, SINGLE MODE, 144 COUNT"
951-2295,LF,,"OVERHEAD CABLE TELEVISION , FIBER, SINGLE MODE, 192 COUNT"
951-2300,LF,,"OVERHEAD CABLE TELEVISION , FIBER, SINGLE MODE, 216 COUNT"
951-2305,LF,,"UNDERGROUND CABLE TELEVISION, FEEDER - COAXIAL, 0.625 IN"
951-2310,LF,,"UNDERGROUND CABLE TELEVISION, SERVICE, RG6 - COAXIAL,  0.298 IN"
951-2315,LF,,"UNDERGROUND CABLE TELEVISION, SERVICE, RG11 - COAXIAL, 0.412 IN"
951-2320,LF,,"UNDERGROUND CABLE TELEVISION, TEMPORARY - COAXIAL, 0.298 IN"
951-2325,LF,,"UNDERGROUND CABLE TELEVISION, TEMPORARY - COAXIAL, 0.412 IN"
951-2330,LF,,"UNDERGROUND CABLE TELEVISION, TEMPORARY - COAXIAL, 0.625 IN"
951-2335,LF,,"UNDERGROUND CABLE TELEVISION, TEMPORARY - COAXIAL, 0.875 IN"
951-2339,LF,,"UNDERGROUND CABLE TELEVISION, TRUNK - COAXIAL, 0.750 IN"
951-2340,LF,,"UNDERGROUND CABLE TELEVISION, TRUNK - COAXIAL, 0.875 IN"
951-2345,LF,,"UNDERGROUND CABLE TELEVISION, FIBER, SINGLE MODE, 6 COUNT"
951-2350,LF,,"UNDERGROUND CABLE TELEVISION, FIBER, SINGLE MODE, 12 COUNT"
951-2355,LF,,"UNDERGROUND CABLE TELEVISION, FIBER, SINGLE MODE, 18 COUNT"
951-2360,LF,,"UNDERGROUND CABLE TELEVISION, FIBER, SINGLE MODE, 24 COUNT"
951-2365,LF,,"UNDERGROUND CABLE TELEVISION, FIBER, SINGLE MODE, 36 COUNT"
951-2370,LF,,"UNDERGROUND CABLE TELEVISION, FIBER, SINGLE MODE, 48 COUNT"
951-2375,LF,,"UNDERGROUND CABLE TELEVISION, FIBER, SINGLE MODE, 60 COUNT"
951-2380,LF,,"UNDERGROUND CABLE TELEVISION, FIBER, SINGLE MODE, 72 COUNT"
951-2385,LF,,"UNDERGROUND CABLE TELEVISION, FIBER, SINGLE MODE, 84 COUNT"
951-2390,LF,,"UNDERGROUND CABLE TELEVISION, FIBER, SINGLE MODE, 96 COUNT"
951-2395,LF,,"UNDERGROUND CABLE TELEVISION, FIBER, SINGLE MODE, 144 COUNT"
951-2400,LF,,"UNDERGROUND CABLE TELEVISION, FIBER, SINGLE MODE, 192 COUNT"
951-2405,LF,,"UNDERGROUND CABLE TELEVISION, FIBER, SINGLE MODE, 216 COUNT"
951-2410,LF,,"REMOVAL OF OVERHEAD CABLE TELEVISION, FEEDER - COAXIAL"
951-2415,LF,,"REMOVAL OF OVERHEAD CABLE TELEVISION, SERVICE - COAXIAL"
951-2420,LF,,"REMOVAL OF OVERHEAD CABLE TELEVISION, TEMPORARY - COAXIAL"
951-2425,LF,,"REMOVAL OF OVERHEAD CABLE TELEVISION, TRUNK - COAXIAL"
951-2430,LF,,"REMOVAL OF OVERHEAD CABLE TELEVISION, FIBER"
951-2435,LF,,"REMOVAL OF UNDERGROUND CABLE TELEVISION, FEEDER - COAXIAL"
951-2440,LF,,"REMOVAL OF UNDERGROUND CABLE TELEVISION, SERVICE - COAXIAL"
951-2445,LF,,"REMOVAL OF UNDERGROUND CABLE TELEVISION, TEMPORARY - COAXIAL"
951-2450,LF,,"REMOVAL OF UNDERGROUND CABLE TELEVISION, TRUNK - COAXIAL"
951-2455,LF,,"REMOVAL OF UNDERGROUND CABLE TELEVISION, FIBER"
951-2460,*$*,,"CABLE TELEVISION SYSTEMS, MATERIAL CREDIT"
951-5000,LF,,"OVERHEAD CABLE , FEEDER - COAXIAL, __________ IN"
951-5005,LF,,"OVERHEAD CABLE, SERVICE, RG6 - COAXIAL, __________IN"
951-5010,LF,,"OVERHEAD CABLE, SERVICE, RG11 - COAXIAL, __________IN"
951-5015,LF,,"OVERHEAD CABLE, TEMPORARY - COAXIAL, __________IN"
951-5020,LF,,"OVERHEAD CABLE, TRUNK - COAXIAL, ___________IN"
951-5021,LF,,"OVERHEAD CABLE, TRUNK - COAXIAL, 0.750 IN"
951-5025,LF,,"OVERHEAD CABLE, FIBER, SINGLE MODE, __________COUNT"
951-5100,LF,,"UNDERGROUND CABLE, FEEDER - COAXIAL, __________IN"
951-5105,LF,,"UNDERGROUND CABLE, SERVICE, RG6 - COAXIAL, __________IN"
951-5110,LF,,"UNDERGROUND CABLE, SERVICE, RG11 - COAXIAL, __________IN"
951-5115,LF,,"UNDERGROUND CABLE, TEMPORARY - COAXIAL, __________IN"
951-5120,LF,,"UNDERGROUND CABLE, TRUNK - COAXIAL, __________IN"
951-5125,LF,,"UNDERGROUND CABLE, FIBER, SINGLE MODE, ______COUNT"
951-5200,LF,,"REMOVAL OF OVERHEAD CABLE, FEEDER - COAXIAL"
951-5205,LF,,"REMOVAL OF OVERHEAD CABLE, SERVICE - COAXIAL"
951-5210,LF,,"REMOVAL OF OVERHEAD CABLE, TEMPORARY - COAXIAL"
951-5215,LF,,"REMOVAL OF OVERHEAD CABLE, TRUNK - COAXIAL"
951-5220,LF,,"REMOVAL OF OVERHEAD CABLE, FIBER"
951-5225,LF,,"REMOVAL OF UNDERGROUND CABLE, FEEDER - COAXIAL"
951-5230,LF,,"REMOVAL OF UNDERGROUND CABLE, SERVICE - COAXIAL"
951-5235,LF,,"REMOVAL OF UNDERGROUND CABLE, TEMPORARY - COAXIAL"
951-5240,LF,,"REMOVAL OF UNDERGROUND CABLE, TRUNK - COAXIAL"
951-5245,LF,,"REMOVAL OF UNDERGROUND CABLE, FIBER"
951-5400,*$*,,"CABLE SYSTEMS, MATERIAL CREDIT"
960-0000,$,* * * Requires Special Provision * * *,SEC 960 PRECAST CULVERT
960-0550,LF,* * * Requires Special Provision * * *,"PRECAST THREE SIDED CULVERT, SINGLE BARREL -"
999-0000,$,,"SEC 999 MISCELLANEOUS ALL PAY ITEMS **REQUIRE SPECIAL PROVISIONS**"
999-0014,EA,* * * Requires Special Provision * * *,INSTALLATION OF FOUNDATION FOR STREET LUMINAIRE AND POLE
999-0025,LS,* * * Requires Special Provision * * *,"COMPOSITE DECK-BEAM UNITS,  BR NO -"
999-0028,LS,* * * Requires Special Provision * * *,"PRECAST CONCRETE BRIDGE DECK,  BR NO. -"
999-0030,LS,* * * Requires Special Provision * * *,"HEAT STRAIGHTENING AND REPAIR OF STRUCTURAL MEMBERS,  BEAM NO. -"
999-0032,LS,* * * Requires Special Provision * * *,"PRECAST CONCRETE BRIDGE DECK,  BM NO. -"
999-0033,LS,* * * Requires Special Provision * * *,"HEAT STRAIGHTENING & REPAIR OF STRUCTURAL MEMBERS,  BR NO. -"
999-0040,EA,,LIGHTED CUPOLA
999-0042,EA,,ALUMINUM CABINET
999-0043,LF,* * * Requires Special Provision * * *,SHEET PILING
999-0045,SF,* * * Requires Special Provision * * *,GABION WALL
999-0046,SF,* * * Requires Special Provision * * *,GABION APRON
999-0048,SF,* * * Requires Special Provision * * *,GABION APRON - REVET MATTRESSES
999-0050,LS,* * * Requires Special Provision * * *,LED DYNAMIC DELINEATION SYSTEM
999-0055,LF,* * * Requires Special Provision * * *,BIOSLOPE
999-0060,SY,* * * Requires Special Provision * * *,BIORETENTION AREA
999-0065,EA,* * * Requires Special Provision * * *,BIORETENTION AREA
999-0068,EA,* * * Requires Special Provision * * *,SAND FILTER
999-0070,LS,* * * Requires Special Provision * * *,ARCHITECTURAL TRUSS
999-0100,L S,,ARCHITECTURAL CONSTRUCTION
999-0110,EA,* * * Requires Special Provision * * *,TRAIL COUNTER
999-0125,LS,* * * Requires Special Provision * * *,LUMP SUM RESURFACING -
999-0150,LS,* * * Requires Special Provision * * *,CONSTRUCTION OF COVERED BOARDWALK - COMPLETE
999-0160,SY,* * * Requires Special Provision * * *,GOLF NETTING FENCE - COMPLETE
999-0200,LS,* * * Requires Special Provision * * *,GEOSYNTHETIC TEST PROGRAM
999-0250,LF,* * * Requires Special Provision * * *,REMOVABLE TRAFFIC SEPARATOR
999-0300,LS,* * * Requires Special Provision * * *,WIRELESS BROADBAND ETHERNET SYSTEM
999-0310,LS,* * * Requires Special Provision * * *,TESTING
999-0320,LS,* * * Requires Special Provision * * *,TRAINING
999-0500,LS,* * * Requires Special Provision * * *,"PREFABRICATED HIGHWAY BRIDGE, BR NO -"
999-0600,EA,* * * Requires Special Provision * * *,"INFILTRATION TRENCH, STA NO -"
999-0800,LS,* * * Requires Special Provision * * *,WEIGH IN-MOTION PIEZOELECTIC SENSORS & INDUCTIVE LOOPS REPLACEMENT
999-1000,L S,,H-PILE SUPPORTED LOAD TRANSFER PLATFORM
999-1001,L S,,COMPACTED AGGREGATE PIERS
999-1004,L S,,RIGID INCLUSION LOAD TRANSFER PLATFORM (CULVERT)
999-1005,L S,* * * Requires Special Provision * * *,"RIGID INCLUSION SUPPORTED LOAD TRANSFER PLATFORM, WALL NO -"
999-1010,LF,,DRILL HOLES
999-1015,CY,,COMPACTION GROUT
999-1100,EA,,"DMS, TYPE SPECIAL"
999-1111,DAY,,TEST
999-1300,MO,* * * Requires Special Provision * * *,SPECIAL STREAM MONITORING
999-1400,L S,* * * Requires Special Provision * * *,INTELLIGENT COMPACTION
999-1500,SY,* * * Requires Special Provision * * *,INTEGRALLY COLORED HOT APPLIED SYNTHETIC ASPHALT (STAMPED ASPHALT)
999-1600,EA,* * * Requires Special Provision * * *,"TEMPORARY SEDIMENT TRAP, STA NO -"
999-1800,SF,* * * Requires Special Provision * * *,"PRECAST MODULAR WALL FACE, 0-10 FT HT, WALL NO -"
999-1810,SF,* * * Requires Special Provision * * *,"PRECAST MODULAR WALL FACE, 10-20 FT HT, WALL NO -"
999-1820,SF,* * * Requires Special Provision * * *,"PRECAST MODULAR WALL FACE, 20-30 FT HT, WALL NO -"
999-1830,SF,* * * Requires Special Provision * * *,"PRECAST MODULAR WALL FACE, GRT THAN 30 FT HT, WALL NO -"
999-2000,L S,,MECHANICAL CONSTRUCTION
999-2005,LS,* * * Requires Special Provision * * *,DESIGN BUILD GENERAL
999-2010,LS,* * * Requires Special Provision * * *,DESIGN COMPLETE
999-2015,LS,* * * Requires Special Provision * * *,CONSTRUCTION COMPLETE
999-3000,L S,,ELECTRICAL CONSTRUCTION
999-3050,LS,* * * Requires Special Provision * * *,UNDERGROUND STORAGE CHAMBERS
999-3100,MO,* * * Requires Special Provision * * *,SPECIAL STREAM MONITORING
999-3110,EA,* * * Requires Special Provision * * *,DETENTION POND
999-3125,L S,* * * Requires Special Provision * * *,RETENTION POND
999-3130,EA,* * * Requires Special Provision * * *,TESTING OF WATER SAMPLES
999-3135,EA,* * * Requires Special Provision * * *,SLURRY PITS FOR EXTRACTING WATER
999-3140,GL,* * * Requires Special Provision * * *,REMOVE / DISPOSE WATER
999-3150,SY,* * * Requires Special Provision * * *,GEOCOMPOSITE DRAIN
999-3155,LF,* * * Requires Special Provision * * *,DRY SWALE EDGE DRAIN
999-3156,LF,* * * Requires Special Provision * * *,ENHANCED DRY SWALE
999-3160,LF,* * * Requires Special Provision * * *,ENHANCED DRY SWALE EDGE DRAIN
999-3161,LF,* * * Requires Special Provision * * *,ENHANCED WET SWALE
999-3200,LS,* * * Requires Special Provision * * *,SIGN DESIGN & INVENTORY DATABASE
999-3300,LS,* * * Requires Special Provision * * *,AUTOMATED TRUCK ROLLOVER WARNING SYSTEM (ATRWS)
999-3400,LS,* * * Requires Special Provision * * *,MOBILIZATION OF AUTOMATED PORTABLE REAL-TIME WORKZONE  INFORMATION SYSTEM
999-3410,MO,* * * Requires Special Provision * * *,AUTOMATED PORTABLE REAL-TIME WORKZONE INFORMATION SYSTEM
999-3420,EA,* * * Requires Special Provision * * *,RADAR SPEED DISPLAY UNIT
999-3450,EA,* * * Requires Special Provision * * *,PORTABLE HIGHWAY ADVISORY RADIO
999-3455,EA,* * * Requires Special Provision * * *,PORTABLE HIGHWAY ADVISORY RADIO BEACON SIGN
999-3500,EA,* * * Requires Special Provision * * *,STOP LOG GATE
999-3600,EA,* * * Requires Special Provision * * *,TUBULAR EXTENSION
999-3700,LS,* * * Requires Special Provision * * *,"TUBULAR ARM EXTENSION, STA -"
999-3800,EA,,RECTANGULAR RAPID BEACON ASSEMBLY
999-3900,LS,,TESTING - RECTANGULAR RAPID BEACON ASSEMBLY
999-3975,LS,,TRAINING - RECTANGULAR RAPID BEACON ASSEMBLY
999-4000,EA,,SPEED INDICATING FEEDBACK SIGN
999-4050,EA,,MOUNTING POLE AND FOUNDATION - SPEED INDICATING FEEDBACK  SIGN
999-4075,LS,,TESTING - SPEED INDICATING FEEDBACK SIGN
999-4085,LS,,TRAINING - SPEED INDICATING FEEDBACK SIGN
999-4100,EA,* * * Requires Special Provision * * *,LED BORDERED SIGN
999-4200,EA,,LANE CONTROL SYSTEM
999-4225,LS,,TESTING - LANE CONTROL SYSTEM
999-4250,LS,,TRAINING - LANE CONTROL SYSTEM
999-4800,LS,* * * Requires Special Provision * * *,WEIGH IN-MOTION SYSTEM COMPONENTS REPLACEMENT
999-5000,EACH,* * * Requires Special Provision * * *,"VARIABLE SPEED LIMIT SIGN REMOVE, RESET AND INTEGRATION"
999-5100,EA,* * * Requires Special Provision * * *,SOLAR POWERED FLASHING ASSEMBLY
999-5200,SF,* * * Requires Special Provision * * *,DETECTABLE WARNING SURFACE
999-5250,L S,* * * Requires Special Provision * * *,DECORATIVE LETTERS
999-5600,EA,* * * Requires Special Provision * * *,CANOE/KAYAK PUT-IN/TAKE-OUT SITE
999-5800,LS,* * * Requires Special Provision * * *,SPEED DETECTION AND WARNING SYSTEM
999-5850,LS,* * * Requires Special Provision * * *,PRESSURE CELLS SYSTEM
999-5900,LS,* * * Requires Special Provision * * *,IN-ROADWAY CROSSWALK WARNING SYSTEM
999-6000,EA,* * * Requires Special Provision * * *,"ROCK BOLT, TYPE 1"
999-6100,EA,* * * Requires Special Provision * * *,"ROCK BOLT, TYPE 2"
999-6200,EA,* * * Requires Special Provision * * *,"ROCK BOLT, TYPE 3"
999-6500,LS,* * * Requires Special Provision * * *,TREE PROTECTION AND TRIMMING
999-7000,EA,* * * Requires Special Provision * * *,"TEN CHARACTER LED MODULE, HOT"
999-7200,EA,* * * Requires Special Provision * * *,"BATTERY BACKUP SYSTEM, HOV ITS"
